title,link,year,abstract
Microservices: yesterday today and tomorrow,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M9hLHUkAAAAJ&citation_for_view=M9hLHUkAAAAJ:P5F9QuxV20EC,2017,Microservices is an architectural style inspired by service-oriented computing that has recently started gaining popularity. Before presenting the current state of the art in the field this chapter reviews the history of software architecture the reasons that led to the diffusion of objects and services first and microservices later. Finally open problems and future challenges are introduced. This survey primarily addresses newcomers to the discipline while offering an academic viewpoint on the topic. In addition we investigate some practical issues and point out a few potential solutions.
A Survey of Man In The Middle Attacks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M9hLHUkAAAAJ&citation_for_view=M9hLHUkAAAAJ:uWQEDVKXjbEC,2016,The Man-In-The-Middle (MITM) attack is one of the most well known attacks in computer security representing one of the biggest concerns for security professionals. MITM targets the actual data that flows between endpoints and the confidentiality and integrity of the data itself. In this paper we extensively review the literature on MITM to analyse and categorize the scope of MITM attacks considering both a reference model such as the open systems interconnection (OSI) model as well as two specific widely used network technologies i.e. GSM and UMTS. In particular we classify MITM attacks based on several parameters like location of an attacker in the network nature of a communication channel and impersonation techniques. Based on an impersonation techniques classification we then provide execution steps for each MITM class. We survey existing countermeasures and discuss the comparison among …
Foundations and evolution of modern computing paradigms: Cloud iot edge and fog,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M9hLHUkAAAAJ&citation_for_view=M9hLHUkAAAAJ:z_wVstp3MssC,2019,In the last few years Internet of Things Cloud computing Edge computing and Fog computing have gained a lot of attention in both industry and academia. However a clear and neat definition of these computing paradigms and their correlation is hard to find in the literature. This makes it difficult for researchers new to this area to get a concrete picture of these paradigms. This work tackles this deficiency representing a helpful resource for those who will start next. First we show the evolution of modern computing paradigms and related research interest. Then we address each paradigm neatly delineating its key points and its relation with the others. Thereafter we extensively address Fog computing remarking its outstanding role as the glue between IoT Cloud and Edge computing. In the end we briefly present open challenges and future research directions for IoT Cloud Edge and Fog computing.
Microservices: How to make your application scale,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M9hLHUkAAAAJ&citation_for_view=M9hLHUkAAAAJ:tS2w5q8j5-wC,2018,The microservice architecture is a style inspired by service-oriented computing that has recently started gaining popularity and that promises to change the way in which software is perceived conceived and designed. In this paper we describe the main features of microservices and highlight how these features improve scalability.
A systematic survey of industrial Internet of Things security: Requirements and fog computing opportunities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M9hLHUkAAAAJ&citation_for_view=M9hLHUkAAAAJ:LO7wyVUgiFcC,2020,A key application of the Internet of Things (IoT) paradigm lies within industrial contexts. Indeed the emerging Industrial Internet of Things (IIoT) commonly referred to as Industry 4.0 promises to revolutionize production and manufacturing through the use of large numbers of networked embedded sensing devices and the combination of emerging computing technologies such as Fog/Cloud Computing and Artificial Intelligence. The IIoT is characterized by an increased degree of inter-connectivity which not only creates opportunities for the industries that adopt it but also for cyber-criminals. Indeed IoT security currently represents one of the major obstacles that prevent the widespread adoption of IIoT technology. Unsurprisingly such concerns led to an exponential growth of published research over the last few years. To get an overview of the field we deem it important to systematically survey the academic …
DDoS-capable IoT malwares: Comparative analysis and Mirai investigation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M9hLHUkAAAAJ&citation_for_view=M9hLHUkAAAAJ:XD-gHx7UXLsC,2018,The Internet of Things (IoT) revolution has not only carried the astonishing promise to interconnect a whole generation of traditionally “dumb” devices but also brought to the Internet the menace of billions of badly protected and easily hackable objects. Not surprisingly this sudden flooding of fresh and insecure devices fueled older threats such as Distributed Denial of Service (DDoS) attacks. In this paper we first propose an updated and comprehensive taxonomy of DDoS attacks together with a number of examples on how this classification maps to real-world attacks. Then we outline the current situation of DDoS-enabled malwares in IoT networks highlighting how recent data support our concerns about the growing in popularity of these malwares. Finally we give a detailed analysis of the general framework and the operating principles of Mirai the most disruptive DDoS-capable IoT malware seen so far.
From monolithic to microservices: An experience report from the banking domain,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M9hLHUkAAAAJ&citation_for_view=M9hLHUkAAAAJ:Mojj43d5GZwC,2018,Microservices have seen their popularity blossoming with an explosion of concrete applications in real-life software. Several companies are currently involved in a major refactoring of their back-end systems in order to improve scalability. This article presents an experience report of a real-world case study from the banking domain in order to demonstrate how scalability is positively affected by reimplementing a monolithic architecture into microservices. The case study is based on the FX Core system for converting from one currency to another. FX Core is a mission-critical system of Danske Bank the largest bank in Denmark and one of the leading financial institutions in Northern Europe.
Blockchain implementations and use cases for supply chains-a survey,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M9hLHUkAAAAJ&citation_for_view=M9hLHUkAAAAJ:0KyAp5RtaNEC,2020,Since Bitcoin's debut in 2008 blockchain the technology behind the cryptocurrency has been gaining increasing scientific and industrial interest. Due to the technology's innate distributed and immutable features the adoption of blockchains on supply chains is one of the most promising recent applications. In this survey we review academic researches and implementations of distributed ledgers on supply chains. We present the current state of research on the subject and summarize the benefits and the challenges of the distributed organization and management of supply chains. Focusing on industrial practices and use cases we discuss the technical characteristics and maturity of the various industrial projects. Our goal is to assess the applicability of blockchains in the supply chain domain and to provide a foundation for practitioners and researchers to direct their future projects towards improving the …
ODMAC: An on-demand MAC protocol for energy harvesting-wireless sensor networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M9hLHUkAAAAJ&citation_for_view=M9hLHUkAAAAJ:dhFuZR0502QC,2011,Energy Harvesting (EH) provides a promising solution to one of the biggest problems faced by Wireless Sensor Networks (WSN) namely the energy supply. By harvesting energy from the surrounding environment the sensors can have an in finite lifetime without any needs for battery recharge or replacement. Battery-powered WSNs are typically designed to maximize the energy conservation in order to postpone as much as possible the inevitable battery depletion. Instead EH-WSNs are being designed on a different principle. The focus is on maximizing the network performance while operating at a state that is energetically sustainable. In this paper we present ODMAC an on demand MAC protocol for EH-WSNs which is able to support individual duty cycles for nodes with different energy profiles. Hence each node is able to increase its energy consumption thus its performance to the level that the energy …
Microservices: Migration of a mission critical system,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M9hLHUkAAAAJ&citation_for_view=M9hLHUkAAAAJ:QYdC8u9Cj1oC,2018,An increasing interest is growing around the idea of microservices and the promise of improving scalability when compared to monolithic systems. Several companies are evaluating pros and cons of a complex migration. In particular financial institutions are positioned in a difficult situation due to the economic climate and the appearance of agile competitors that can navigate in a more flexible legal framework and started their business since day one with more agile architectures and without being bounded to outdated technological standard. In this paper we present a real world case study in order to demonstrate how scalability is positively affected by re-implementing a monolithic architecture (MA) into a microservices architecture (MSA). The case study is based on the  FX Core  system a mission critical system of Danske Bank the largest bank in Denmark and one of the leading financial institutions in Northern …
